Country Name,Country Code,Year,EC,CO2,TINN,OPP,GDP1,FinD
India,IND,2009,37.4,1.2788736028408876,5.12,46.272869642883734,7.861888832860743,3.45
India,IND,2010,36.2,1.3380338352242174,7.5,49.25520649741613,8.49758470221235,2
India,IND,2011,35,1.396878497731993,10.07,55.62388001351187,5.24131619938926,2.18
India,IND,2012,34.8,1.4982041228244098,11.1,55.79372172873471,5.456387551647012,1.98
India,IND,2013,34.9,1.5276744002600142,12.3,53.84413194668108,6.386106400923481,1.59
India,IND,2014,33.9,1.6424652773733281,13.5,48.92218574704886,7.410227605164081,0.97
India,IND,2015,33.4,1.6313234871722753,14.9,41.92291386587568,7.996253785665857,0.89
India,IND,2016,33,1.6399140187692798,16.5,40.08248571326717,8.256305501781554,0.95
India,IND,2017,32.5,1.704926720782332,18.2,40.74249695452038,6.795383418985693,0.86
India,IND,2018,32.9,1.7955952985843264,20.0813,43.61696933239858,6.453851344976599,1.18
India,IND,2019,33.5,1.7525343662503698,29.5235,39.90540353063506,3.8714369407095717,2
India,IND,2020,36.1,1.5760932319164813,43.4054,37.75810532928246,-5.777724706874338,2.05
India,IND,2021,34.9,,,45.42308878404383,9.689592491912109,2.23
India,IND,2022,,,,49.965319969038184,6.987039325760506,2.77
India,IND,2023,,,,45.853928149001085,7.5839711243355765,
Russian Federation,RUS,2004,3.5,11.112711366122765,12.8594,56.581852398405545,7.199947869548566,0.25
Russian Federation,RUS,2005,3.6,11.231852152847361,15.2267,56.71324849054219,6.399965447994688,0.18
Russian Federation,RUS,2006,3.5,11.568369096944998,18.0233,54.73340186726601,8.200068254563206,0.26
Russian Federation,RUS,2007,3.7,11.611269047409605,24.66,51.706122745460625,8.499977769165113,0.22
Russian Federation,RUS,2008,3.3,11.595654089130063,32,53.38246604089083,5.199969264049571,0.17
Russian Federation,RUS,2009,3.6,10.83210862784044,42.55,48.43506102781807,-7.79999391271275,0.28
Russian Federation,RUS,2010,3.3,11.325400945840414,49,50.3555054872589,4.499999999206722,0.22
Russian Federation,RUS,2011,3.2,11.880189090625846,58,48.035399407791864,4.300029185677488,0.24
Russian Federation,RUS,2012,3.2,11.687641588139114,66,47.151390385795715,4.024086157469213,0.31
Russian Federation,RUS,2013,3.6,11.353377535865457,67.97,46.287149400499,1.75542214874298,0.42
Russian Federation,RUS,2014,3.3,11.175760781251313,70.5176,47.80134126281159,0.7362672217656723,0.8
Russian Federation,RUS,2015,3.2,11.010450197163017,70.0992,49.35934931168865,-1.9727192258040844,0.81
Russian Federation,RUS,2016,3.4,10.836894907618815,73.0914,46.518119839609604,0.19369007126053361,0.6
Russian Federation,RUS,2017,3.2,10.974702474154686,76.0081,46.87652433713111,1.825790064018335,0.63
Russian Federation,RUS,2018,3.2,11.423807680135807,80.8647,51.5809003703964,2.8072454105960105,0.47
Russian Federation,RUS,2019,3.2,11.712273323537245,82.6422,49.22875366190334,2.198075713350093,0.53
Russian Federation,RUS,2020,3.7,11.141652731835144,84.9947,45.966908202912734,-2.653654501027731,0.51
Russian Federation,RUS,2021,3.5,,88.2138,50.196441103259005,5.614290375783455,0.52
Russian Federation,RUS,2022,,,90.418,43.25870482297193,-2.069711525277313,
Russian Federation,RUS,2023,,,92.245,41.828525182507555,3.6000000000000085,
South Africa,ZAF,2004,11,7.82476407533056,8.42512,45.64357522400406,4.554559907217737,1.43
South Africa,ZAF,2005,9.7,7.704297844996977,7.48854,47.4277813970329,5.277051972954666,1.25
South Africa,ZAF,2006,9.3,7.672712198775085,7.60714,53.768141274114534,5.603806458958886,1.42
South Africa,ZAF,2007,8.7,7.94385857423182,8.06538,57.12513913774696,5.360474053941616,1.32
South Africa,ZAF,2008,9.7,8.446649684968968,8.43,65.97452379962331,3.1910438863287993,1.09
South Africa,ZAF,2009,9.2,7.902048940861346,10,49.5875353278801,-1.5380891352558308,1.26
South Africa,ZAF,2010,9.4,8.217612227312273,24,50.406087162599924,3.039732881279562,1.2
South Africa,ZAF,2011,9,7.808053741825104,33.97,54.63635043589712,3.1685562785881842,1.01
South Africa,ZAF,2012,8.3,8.034649258755753,41,55.58261719333446,2.396232384657452,1.18
South Africa,ZAF,2013,7.8,8.116434953985639,46.5,58.875027630051015,2.485468008265883,1.22
South Africa,ZAF,2014,7.6,8.191152527452674,49,59.499574055059256,1.4138264522379274,1.54
South Africa,ZAF,2015,7.6,7.607188524178248,51.9191,56.726676144715626,1.3218622367822945,1.42
South Africa,ZAF,2016,7.8,7.544589571132848,54,55.86125750487819,0.6645523078581164,1.37
South Africa,ZAF,2017,7.9,7.683707810686033,56.1674,53.53593182937409,1.157946951817351,1.1
South Africa,ZAF,2018,8,7.667377024635751,62.4,54.48554512763406,1.5567838472167637,0.97
South Africa,ZAF,2019,8.7,7.6889076232217315,69.6969,53.8979964081406,0.2599355768763303,0.92
South Africa,ZAF,2020,9.8,6.687563147377806,72.1128,50.68684333644158,-5.9633581843940675,0.92
South Africa,ZAF,2021,9.7,,74.1534,56.08462474480351,4.703062064857306,0.68
South Africa,ZAF,2022,,,74.703,65.06073541901404,1.9104061700718376,0.71
South Africa,ZAF,2023,,,,65.72245644413587,0.6016623031032537,
