Country,Period,Year,Crop_Index,Food_Index,Livestock_Index,Agri_ValueAdded_perCapita,Agri_ValueAdded_Growth,Agri_ValueAdded_pctGDP,Agri_Imp_pct,Agri_Exp_pct
Cyprus,2002-2005,2003.5,105.445,104.6325,105.595,12530.405869553011,-1.0956606158506297,3.034343728902258,1.1500072534577228,1.0094755293680207
Cyprus,2006-2009,2007.5,78.43,90.0425,97.125,11378.810856674309,-5.316605683660637,2.2001673517026354,1.0126387840534554,1.4184869105829874
Cyprus,2010-2013,2011.5,68.225,84.125,94.7875,13489.40264357225,2.2561359137302723,2.389078909817333,0.7479806298681162,1.8234958917487747
Denmark,2002-2005,2003.5,99.91,100.46000000000001,99.81,32903.12344859232,-2.0731176271423557,1.7967419934079336,2.4935144178866504,2.7501804498236155
Denmark,2006-2009,2007.5,102.4475,101.56,100.02250000000001,34829.658637298584,-4.25533584087626,1.1825256583065378,2.0983813736100743,2.4125662027561505
Denmark,2010-2013,2011.5,103.0,103.5775,101.435,42269.34682680074,3.7353997261975955,1.5225198833481002,2.2979311309171058,3.1711573109283693
Estonia,2002-2005,2003.5,97.405,94.375,96.47,6406.91374057648,0.021303470278777326,3.9165764813741917,3.111930303630203,7.291311144954184
Estonia,2006-2009,2007.5,117.7075,109.4225,105.4025,7502.3917938735885,3.674957207392481,2.933719915921838,2.344354388858343,4.824918672307771
Estonia,2010-2013,2011.5,133.7625,125.0025,115.39,10845.751122742913,7.994125484081344,3.6399197182113623,2.0535831436557266,4.471281917276128
Finland,2002-2005,2003.5,100.05250000000001,99.55,100.065,36895.00038731348,0.04643567241400248,2.824221129646479,2.7099437175745376,5.927952220433243
Finland,2006-2009,2007.5,103.52,100.4675,99.2025,46806.58378691439,3.6214713707363124,2.4975167017980167,2.4458605465700405,4.84312314466306
Finland,2010-2013,2011.5,93.5075,94.72,97.0275,61279.42176632492,2.6055080433095057,2.7957269385364465,2.174384930099165,6.318205141404348
France,2002-2005,2003.5,99.8025,101.47999999999999,103.3575,47994.42642072338,1.4740560408270333,2.048060984516822,1.5962576364140286,0.9725668189786574
France,2006-2009,2007.5,96.17,96.89,97.14500000000001,59682.201557276865,2.511136413678031,1.6623733722477714,1.3281800981188383,0.870412483527031
France,2010-2013,2011.5,96.38,99.69500000000001,99.7025,72644.12226496275,-2.507764026337746,1.7603794674669813,1.2667801944258796,0.9618304907287742
Germany,2002-2005,2003.5,96.8725,99.17,99.745,25233.46286164781,1.627366868429771,0.8935062651050908,1.5742641583794574,0.8261732168152996
Germany,2006-2009,2007.5,99.1825,101.65,102.9,32940.59986307648,9.087581187526787,0.8090714788839702,1.3327583858097416,0.8034349880384788
Germany,2010-2013,2011.5,95.9675,106.0675,109.5,31698.31531014477,-6.115569086324506,0.7758585071874247,1.5211726672260901,0.8209212752647578
Greece,2002-2005,2003.5,99.8125,98.4725,98.565,13576.995033945243,0.6987617125913879,5.169062668939475,1.3645756199697505,2.869861997395269
Greece,2006-2009,2007.5,91.19999999999999,95.16,97.1325,12285.669818082726,-5.108826906036473,3.342513021817243,1.1005382333122615,1.9497728256117026
Greece,2010-2013,2011.5,81.99000000000001,87.8375,94.4875,15080.73608513732,2.5692916628525992,3.5036995669364046,1.09503792780185,2.106146098305775
Hungary,2002-2005,2003.5,89.7775,95.1,108.66499999999999,8998.425608433556,7.9218589689605565,4.66682375204626,1.208592143146211,0.7766311555086709
Hungary,2006-2009,2007.5,89.4225,92.515,96.435,11279.585065549436,4.040143515139668,3.878511731848801,0.8222695380862621,0.5163469752632746
Hungary,2010-2013,2011.5,79.2975,83.7175,90.2225,11088.173766780566,-3.090536271252546,4.3378932696957575,1.182717409500497,0.7379498571577798
Ireland,2002-2005,2003.5,101.3325,99.47,98.98,17513.946315127803,-4.942734095297634,1.6566667563527067,0.99037833485473,0.45699469243084984
Ireland,2006-2009,2007.5,92.5475,98.24,99.45,12024.051300024228,-5.564870821133475,0.9625563688295043,0.8450824855172134,0.47347548421172164
Ireland,2010-2013,2011.5,89.97999999999999,98.89,100.2675,12976.060473703783,2.213183619096988,1.28918672890746,0.6838381070519135,0.5764841043973635
Italy,2002-2005,2003.5,95.915,97.89,101.9425,34143.28526108498,-0.20333927035158084,2.5150897841229023,3.032454073006545,0.6288881782004503
Italy,2006-2009,2007.5,94.79249999999999,97.67,101.4875,40185.778494198246,-0.2233111652009292,2.0786290705616004,2.2593372307242525,0.6108492706338211
Italy,2010-2013,2011.5,90.515,95.305,97.4525,47562.847994020325,0.29596027727420093,2.1435199603857655,2.2814529641436194,0.7169909507038456
Latvia,2002-2005,2003.5,97.6075,95.26249999999999,95.1025,4779.4080104291315,4.116787496086971,4.682069258279412,2.742777714227144,21.17712994804901
Latvia,2006-2009,2007.5,111.99000000000001,112.12,110.1425,5532.707878627538,2.5631132645852155,3.6071806756012768,1.9037775842014941,11.962357034766042
Latvia,2010-2013,2011.5,120.6425,119.2925,115.9925,6346.737416324448,0.7424082797501335,3.838898808004228,1.4270919694365527,10.135018160075287
Lithuania,2002-2005,2003.5,115.16499999999999,97.77,93.58,6561.150480008711,2.4791359040044583,4.918957495133625,2.4630365609640674,3.885237973117488
Lithuania,2006-2009,2007.5,110.2025,107.1975,103.41,7998.64595370443,1.3183626294512187,3.651268075776557,1.734485172747445,2.378101806315303
Lithuania,2010-2013,2011.5,138.6475,111.69,96.885,10259.490328535067,2.1590433590242775,3.895344048629181,1.716431162392276,2.3180325572091633
Luxembourg,2002-2005,2003.5,100.4025,99.1025,99.3325,56921.222148650326,-4.676631407796759,0.6012103800882443,1.1341733162497973,0.7686900759039302
Luxembourg,2006-2009,2007.5,96.7825,101.225,102.6225,39757.9171946477,-1.8192737911063759,0.3692370515219356,1.2386694097087947,0.7429271707619473
Luxembourg,2010-2013,2011.5,83.3625,90.635,95.075,33990.074516750305,-6.2303425051977115,0.3149151157897131,2.345344683140344,3.01784750032021
Malta,2002-2005,2003.5,93.13499999999999,101.52,107.5175,69467.31027222304,0.2554169263353323,2.756866107379345,0.6771791110381199,0.054234610428218775
Malta,2006-2009,2007.5,100.9225,100.82,100.685,62217.02574722988,-3.390168789205724,2.236180798362083,0.6152969422609663,0.12987447617690814
Malta,2010-2013,2011.5,100.685,94.06,89.175,56326.631338419626,-2.9371737481793474,1.9187566751371856,0.36115622562748784,0.10579263128869666
Netherlands,2002-2005,2003.5,99.8775,98.5475,98.4575,47365.53563383232,2.21199737861048,2.131783463455808,1.611126157948069,2.9577242131904473
Netherlands,2006-2009,2007.5,101.0675,104.44,105.145,55855.2008783212,2.1910376430307537,1.8768048795686938,1.4390625082217379,2.671285485533677
Netherlands,2010-2013,2011.5,107.6175,112.7625,114.075,63916.624461296575,-0.28634055388794266,1.8129284246053166,1.5694163692109588,2.9339240188980207
Poland,2002-2005,2003.5,101.895,97.935,98.08500000000001,2467.524479074931,2.9312658075132667,3.248591460036889,1.8994901325939386,1.3645447711037018
Poland,2006-2009,2007.5,101.0025,102.235,103.49,2801.7510655501246,2.3127218094578943,3.0661871263881872,1.5831955707971859,1.029627665180441
Poland,2010-2013,2011.5,103.49,105.215,106.125,3158.291867074592,-0.9213810646710421,3.192975846969421,1.8119597787589625,1.2569903381457919
Portugal,2002-2005,2003.5,98.21000000000001,98.64750000000001,100.2,7384.245369035875,0.5768383101324623,2.938538189992733,1.9206891268633932,2.4197528747963366
Portugal,2006-2009,2007.5,95.12,98.67999999999999,103.0475,8141.673124119223,-0.31323842217708986,2.3360139375229805,1.561793120504783,2.807021289294388
Portugal,2010-2013,2011.5,100.6175,102.5425,104.015,9010.672637255338,0.9256216144667704,2.2030720788306177,1.7491039589773996,2.743812279870384
Romania,2002-2005,2003.5,94.9175,95.72,98.4275,6759.409905338469,0.2774820495114092,12.235857865384414,1.1591562072740862,2.8875394828902077
Romania,2006-2009,2007.5,80.6575,91.9375,101.66499999999999,7493.817565646161,-1.0255105150880262,6.7033758365152885,1.0649562703382762,1.897516236289243
Romania,2010-2013,2011.5,92.2525,95.4175,90.3225,10469.565932905889,7.866171468196907,6.277537983713153,1.5919676268284662,2.1680389546181305
Slovak Republic,2002-2005,2003.5,96.685,98.8575,103.445,9200.270679271242,2.812378087882877,4.290176011248875,1.4429464130110858,1.6821607995913417
Slovak Republic,2006-2009,2007.5,94.3925,96.16749999999999,93.9075,12171.776610839917,7.402891226928094,3.7438964274334134,1.1235781248140493,1.1316777508842588
Slovak Republic,2010-2013,2011.5,89.5175,83.7825,81.5725,14495.37102522275,6.183384180241095,3.4266873441755816,1.4247465030814142,1.0649849447289523
Slovenia,2002-2005,2003.5,98.405,103.4025,104.8225,61203.07179275647,2.712630516556601,2.7042941798454097,2.891747919450318,1.163196166086642
Slovenia,2006-2009,2007.5,90.4275,94.14,95.66749999999999,91809.38839559753,-1.0682762800491474,2.0468725262339973,2.700039393484265,1.5096326117150127
Slovenia,2010-2013,2011.5,84.21249999999999,89.33,89.1525,135039.1596027992,-1.006604492577516,2.101416307422076,3.0351712614114668,1.9076924971735925
Spain,2002-2005,2003.5,102.6925,102.17,101.9575,27519.508878751178,-2.6157124465495016,3.491156045551248,1.5353923331337789,1.169450826093097
Spain,2006-2009,2007.5,101.89,101.215,99.64,30778.613068399325,1.6823585093789113,2.5455714062682624,1.2384254671477561,1.063532294496187
Spain,2010-2013,2011.5,104.125,103.055,100.7875,36366.35543125452,3.0217430669534586,2.5851241998577352,1.3064443894379336,1.1656037913640218
Sweden,2002-2005,2003.5,104.2175,101.1225,101.3375,29156.33381808176,2.0007267802363415,1.650043683033594,1.6747123371804857,4.353595469630115
Sweden,2006-2009,2007.5,98.7025,96.65,96.3425,36589.49988590864,3.0981164946064226,1.504541663731422,1.3516880001199902,3.972020603562947
Sweden,2010-2013,2011.5,99.62,94.16,93.575,37534.83131310039,-1.3608734341146551,1.532156562483311,1.3491161811389498,3.7894293121867353
United Kingdom,2002-2005,2003.5,101.625,100.015,99.565,27390.75691435347,3.556803921465036,0.821099018008197,1.4862940290163826,0.5547921359487324
United Kingdom,2006-2009,2007.5,99.91,100.245,100.07249999999999,27386.47095727394,-2.2254342402934313,0.6565129420009707,1.132422769304144,0.6091893628651494
United Kingdom,2010-2013,2011.5,97.445,101.55250000000001,102.7475,29065.013311044255,0.9439853779865466,0.7000395830577663,1.0920508039507828,0.6941894128305951
