year,country,Q,NX_GDP
1982,Mexico,1.088729709,-2.373946234
1983,Mexico,1.13430777,-1.143512288
1984,Mexico,1.078713532,0.214141724
1985,Mexico,1.086109521,-2.73746421
1986,Mexico,1.076902161,-0.899310321
1987,Mexico,1.051740659,-0.698253873
1988,Mexico,1.095488499,-0.395052995
1989,Mexico,1.085188526,-2.362326715
1990,Mexico,1.083488328,-2.437331623
1991,Mexico,1.046997762,-0.412480619
1992,Mexico,1.090759221,-0.856244803
1993,Mexico,1.032184136,-0.609861203
1994,Mexico,1.069476122,-0.700365774
1995,Mexico,1.099065916,-1.874787673
1996,Mexico,1.0329639,-0.631999174
1997,Mexico,1.038966495,-0.601193373
1998,Mexico,1.0498033,-1.662801288
1999,Mexico,1.035258582,0.990048228
2000,Mexico,1.01183265,-0.284763699
2001,Mexico,1.041735001,-2.099411873
2002,Mexico,1.01663549,-0.126057213
2003,Mexico,1.044871236,-1.898471221
2004,Mexico,1.014528725,0.015007605
2005,Mexico,1.061433721,0.151993601
2006,Mexico,1.01228779,-1.581554641
1980,Singapore,1.046367783,3.564346405
1981,Singapore,1.071354674,5.133187452
1982,Singapore,1.032003286,5.109215579
1983,Singapore,1.025328559,3.799992402
1984,Singapore,1.026105228,4.842234957
1985,Singapore,1.031071545,4.776516471
1986,Singapore,1.04933795,3.684935889
1987,Singapore,1.061195258,5.256837394
1988,Singapore,1.063398269,5.473052623
1989,Singapore,1.077900352,6.082331839
1990,Singapore,1.065108959,5.976334289
1991,Singapore,1.097411837,3.738680136
1992,Singapore,1.066540252,3.99329496
1993,Singapore,1.129729007,5.825287791
1994,Singapore,1.091331204,5.593651662
1995,Singapore,1.06516694,5.437927813
1996,Singapore,1.064384476,8.770916829
1997,Singapore,1.098944008,5.696433043
1998,Singapore,1.088317538,6.197349353
1999,Singapore,1.110559038,6.149234475
2000,Singapore,1.109236014,5.838685823
2001,Singapore,1.101806918,4.827450747
2002,Singapore,1.089819856,5.82976684
2003,Singapore,1.07995102,4.238759389
2004,Singapore,1.104809899,4.923919274
2005,Singapore,1.134360408,4.852677387
2006,Singapore,1.125006541,5.363791873
1980,Switzerland,1.006844807,4.447740867
1981,Switzerland,0.961291733,2.576886365
1982,Switzerland,0.984533859,4.860221835
1983,Switzerland,1.016177955,6.206914516
1984,Switzerland,0.996110989,5.026922236
1985,Switzerland,0.97369694,2.374223786
1986,Switzerland,0.981372208,3.443898384
1987,Switzerland,1.009696683,5.322503746
1988,Switzerland,0.981923842,3.222945345
1989,Switzerland,1.001286793,4.461567518
1990,Switzerland,0.998295504,4.778921344
1991,Switzerland,0.984778506,3.016530331
1992,Switzerland,1.041115842,4.137453454
1993,Switzerland,1.011341787,0.821728222
1994,Switzerland,0.958587001,2.801211385
1995,Switzerland,1.003245385,3.773993605
1996,Switzerland,0.986707016,2.704355912
1997,Switzerland,1.017417858,5.722749189
1998,Switzerland,0.984945223,2.514069649
1999,Switzerland,0.998927355,3.567086135
2000,Switzerland,1.011748276,4.195565343
2001,Switzerland,1.019390081,5.540486176
2002,Switzerland,0.978495495,2.4793251
2003,Switzerland,0.996237845,5.158191577
2004,Switzerland,0.99385541,3.994539928
2005,Switzerland,0.990714178,2.988662671
2006,Switzerland,1.039516293,4.651884318
1980,United Kingdom,0.915509791,1.175136787
1981,United Kingdom,0.90783167,2.358508662
1982,United Kingdom,0.919232482,0.455069942
1983,United Kingdom,0.931628941,1.556549334
1984,United Kingdom,0.951530857,0.747553554
1985,United Kingdom,0.896478403,0.897222363
1986,United Kingdom,0.965319574,2.007156908
1987,United Kingdom,0.885041343,1.974631097
1988,United Kingdom,0.92247159,1.850433643
1989,United Kingdom,0.938697829,2.293724098
1990,United Kingdom,0.933975515,1.023416075
1991,United Kingdom,0.91732588,1.734314109
1992,United Kingdom,0.927041618,0.712947167
1993,United Kingdom,0.922768237,1.360200419
1994,United Kingdom,0.922265153,0.907400263
1995,United Kingdom,0.952468683,1.043928692
1996,United Kingdom,0.944041144,1.567372371
1997,United Kingdom,0.924466835,0.212717589
1998,United Kingdom,0.957741217,3.023502401
1999,United Kingdom,0.947319403,-0.043636813
2000,United Kingdom,0.958854847,-0.286414378
2001,United Kingdom,0.956614375,2.092606526
2002,United Kingdom,0.92886609,1.809403199
2003,United Kingdom,0.935666563,1.621458906
2004,United Kingdom,0.963240248,1.542963541
2005,United Kingdom,0.961925974,0.906314081
2006,United Kingdom,0.95072473,0.054910216
