Country,PWT_GDP_2005,WDI_GDP_2005,Diff_abs,Diff_pct
China,14146.8,15217.89,1071.09,7.57
Côte d'Ivoire,18428.02,20039.99,1611.97,8.75
Cameroon,29087.42,21815.56,-7271.86,-25
"Congo, The Democratic Republic of the",37120.71,42402.04,5281.33,14.23
Congo,28659.04,32922.91,4263.87,14.88
Cook Islands,43562.12,37757.96,-5804.16,-13.32
Colombia,78400.17,83975.26,5575.09,7.11
Comoros,18727.62,18985.59,257.97,1.38
Cabo Verde,19871.99,14903.99,-4968,-25
Costa Rica,10721.21,11562.32,841.11,7.85
Cuba,39949.19,41366,1416.81,3.55
Curaçao,42179.87,37132.49,-5047.38,-11.97
Christmas Island,14277.31,20348.63,6071.32,42.52
Cayman Islands,29996.03,43658.17,13662.14,45.55
Cyprus,40478.87,42983.41,2504.54,6.19
Czechia,24665.09,21567.27,-3097.82,-12.56
Germany,33647.72,29456.94,-4190.78,-12.45
Djibouti,24038.61,30048.26,6009.65,25
Dominica,11986.93,13354.73,1367.8,11.41
Denmark,37222.69,34282.3,-2940.39,-7.9
Dominican Republic,42725.57,47951.25,5225.68,12.23
Algeria,31800.92,32677.56,876.64,2.76
Ecuador,13667.16,19503.66,5836.5,42.7
Egypt,15129.63,20341.74,5212.11,34.45
Eritrea,12516.29,17282.18,4765.89,38.08
Western Sahara,32370.04,44449.12,12079.08,37.32
Spain,41530.97,56779.7,15248.73,36.72
Estonia,27234.59,23609.42,-3625.17,-13.31
Ethiopia,35251.66,31220.47,-4031.19,-11.44
Finland,14273.78,12635.98,-1637.8,-11.47
Fiji,23692.91,24753.48,1060.57,4.48
Falkland Islands (Malvinas),11104.04,11923.67,819.63,7.38
France,14974.58,15349.1,374.52,2.5
Faroe Islands,34177.98,38916.82,4738.84,13.87
"Micronesia, Federated States of",19539.68,18806.18,-733.5,-3.75
Gabon,40323.55,37731.3,-2592.25,-6.43
United Kingdom,28824.47,32011.87,3187.4,11.06
Georgia,86440.46,79272.71,-7167.75,-8.29
Guernsey,23083.72,26291.59,3207.87,13.9
Ghana,10903.04,16272.46,5369.42,49.25
Gibraltar,21649.45,18682.35,-2967.1,-13.71
Guinea,13609.08,15206.01,1596.93,11.73
Guadeloupe,35903.5,26927.62,-8975.88,-25
Gambia,22493.69,20826.84,-1666.85,-7.41
Guinea-Bissau,20565.37,21770.98,1205.61,5.86
Equatorial Guinea,20700.93,18064.26,-2636.67,-12.74
Greece,31893.91,28700.2,-3193.71,-10.01
Grenada,17566.85,23251.9,5685.05,32.36
Greenland,32484.71,37316.79,4832.08,14.87
Guatemala,37152.47,39347.35,2194.88,5.91
French Guiana,18563.07,26624.55,8061.48,43.43
Guam,13862.97,15589.97,1727,12.46
Guyana,17043.38,21769.04,4725.66,27.73
Hong Kong,31415.44,44139.73,12724.29,40.5
Heard Island and McDonald Islands,23068.87,29921.02,6852.15,29.7
Honduras,30183.1,40395.19,10212.09,33.83
Croatia,53181.65,54516.34,1334.69,2.51
Haiti,24722.69,21590.83,-3131.86,-12.67
Hungary,14698.95,16790.88,2091.93,14.23
Indonesia,37373.3,42824.69,5451.39,14.59
Isle of Man,22599.44,23942.94,1343.5,5.94
India,34071.74,34440.7,368.96,1.08
British Indian Ocean Territory,37537.63,35392.67,-2144.96,-5.71
Ireland,13636.37,14920.08,1283.71,9.41
"Iran, Islamic Republic of",43958.54,46394.69,2436.15,5.54
Iraq,34632.96,31127.59,-3505.37,-10.12
Iceland,16285.78,18293.46,2007.68,12.33
Israel,25648.09,28129.83,2481.74,9.68
Italy,25049.36,31311.7,6262.34,25
Jamaica,22291.62,25094.86,2803.24,12.58
Jersey,34062.66,29798.85,-4263.81,-12.52
Jordan,45192.13,33894.1,-11298.03,-25
Japan,22107.08,29714.48,7607.4,34.41
Kazakhstan,42849.13,46841.21,3992.08,9.32
Kenya,36101.92,41379.4,5277.48,14.62
Kyrgyzstan,24739.29,22144.76,-2594.53,-10.49
Cambodia,24054.81,18041.11,-6013.7,-25
Kiribati,12378.51,13600.88,1222.37,9.87
Saint Kitts and Nevis,10400.57,10616.12,215.55,2.07
"Korea, Republic of",23920.99,30121.44,6200.45,25.92
Kuwait,14357.61,17996.09,3638.48,25.34
Lao People's Democratic Republic,21594.24,18843.3,-2750.94,-12.74
Lebanon,16859.48,17829.14,969.66,5.75
Liberia,9006.95,4015.36,-4991.59,-55.42
Libya,26334.95,19751.21,-6583.74,-25
Saint Lucia,17903.19,19283.96,1380.77,7.71
Liechtenstein,22927.66,22087.48,-840.18,-3.66
Sri Lanka,14093.09,12998.42,-1094.67,-7.77
Lesotho,18631.17,16982.56,-1648.61,-8.85
Lithuania,48059.26,44475.61,-3583.65,-7.46
Luxembourg,23488.72,21901.34,-1587.38,-6.76
Latvia,28992.38,26445.93,-2546.45,-8.78
Macao,11667.52,12991.39,1323.87,11.35
Saint Martin (French part),72730.64,78338.15,5607.51,7.71
Morocco,55365.22,47839.37,-7525.85,-13.59
Monaco,43552.3,40529.85,-3022.45,-6.94
"Moldova, Republic of",33335.66,28557.17,-4778.49,-14.33
Madagascar,22193.88,22181.66,-12.22,-0.06
Maldives,27475.14,27279.06,-196.08,-0.71
Mexico,37197.98,40895.89,3697.91,9.94
Marshall Islands,16086.17,23390.84,7304.67,45.41
North Macedonia,17636.94,22328.57,4691.63,26.6
Mali,9560.87,9284.03,-276.84,-2.9
Malta,14974.3,18825.63,3851.33,25.72
Myanmar,50546.6,54415.5,3868.9,7.65
Montenegro,18636.48,19309.12,672.64,3.61
Mongolia,18789.93,19940.32,1150.39,6.12
Northern Mariana Islands,25819.45,23596.12,-2223.33,-8.61
Mozambique,9836.81,8763.73,-1073.08,-10.91
Mauritania,35337.18,30190.79,-5146.39,-14.56
Montserrat,41489.82,39630.09,-1859.73,-4.48
Martinique,26599.51,33249.39,6649.88,25
Mauritius,50295.73,44124.48,-6171.25,-12.27
Malawi,11345.59,12116.17,770.58,6.79
Malaysia,55373.58,56161.76,788.18,1.42
Mayotte,15285.03,15059.93,-225.1,-1.47
Namibia,11614.85,13045.12,1430.27,12.31
New Caledonia,19561.21,27012.09,7450.88,38.09
Niger,56162.4,59492.41,3330.01,5.93
Norfolk Island,21813.38,23753.5,1940.12,8.89
Nigeria,13817.68,13649.16,-168.52,-1.22
Nicaragua,11527.94,12711.02,1183.08,10.26
Niue,20898.67,26123.34,5224.67,25
Netherlands,8123.52,9293.39,1169.87,14.4
Norway,11497.71,11472.25,-25.46,-0.22
Nepal,47645.04,45197.3,-2447.74,-5.14
Nauru,42686.24,44394.55,1708.31,4
New Zealand,20656.68,19046.36,-1610.32,-7.8
Oman,17451.27,15230.75,-2220.52,-12.72
Pakistan,22680.36,29076.48,6396.12,28.2
Panama,71253.45,63812.51,-7440.94,-10.44
Pitcairn,26970.2,38033.88,11063.68,41.02
Peru,34712.98,31400.11,-3312.87,-9.54
Philippines,19905.9,18984.26,-921.64,-4.63
Palau,22707.45,25410.47,2703.02,11.9
Papua New Guinea,30442.09,30204.29,-237.8,-0.78
Poland,23459.89,24639.16,1179.27,5.03
Puerto Rico,8529.72,7691.21,-838.51,-9.83
"Korea, Democratic People's Republic of",41784.07,37926.84,-3857.23,-9.23
